tract_id,pct_ebll_cat,primary_county,per_eblls_label,num_EBLLs_tract,tested,pct_ebll_county,pct_ebll_cat_label
,,Minnesota,,3024,334307,0.90%,
27163070801,0,Washington County,n/a,0,0,0.30%,n/a
27163070802,0,Washington County,n/a,0,0,0.30%,n/a
27123980000,0,Ramsey County,n/a,0,0,1.80%,n/a
27001770100,2,Aitkin County,0.00%,0,62,0.40%,No significant difference
27001770200,2,Aitkin County,0.00%,0,60,0.40%,No significant difference
27001770300,2,Aitkin County,About 0.9%,*1-4,108,0.40%,No significant difference
27001770400,2,Aitkin County,0.00%,0,84,0.40%,No significant difference
27001790501,2,Aitkin County,0.00%,0,37,0.40%,No significant difference
27001790502,2,Aitkin County,0.00%,0,72,0.40%,No significant difference
27003050107,2,Anoka County,0.00%,0,189,0.30%,No significant difference
27003050108,2,Anoka County,About 0.9%,*1-4,348,0.30%,No significant difference
27003050109,2,Anoka County,About 0.9%,*1-4,302,0.30%,No significant difference
27003050110,2,Anoka County,0.00%,0,115,0.30%,No significant difference
27003050111,2,Anoka County,About 0.9%,*1-4,176,0.30%,No significant difference
27003050114,2,Anoka County,0.00%,0,116,0.30%,No significant difference
27003050115,2,Anoka County,0.00%,0,256,0.30%,No significant difference
27003050116,2,Anoka County,0.00%,0,200,0.30%,No significant difference
27003050208,2,Anoka County,0.00%,0,173,0.30%,No significant difference
27003050210,2,Anoka County,About 0.9%,*1-4,122,0.30%,No significant difference
27003050215,2,Anoka County,About 0.9%,*1-4,150,0.30%,No significant difference
27003050216,2,Anoka County,About 0.9%,*1-4,255,0.30%,No significant difference
27003050217,2,Anoka County,About 0.9%,*1-4,155,0.30%,No significant difference
27003050218,2,Anoka County,0.00%,0,142,0.30%,No significant difference
27003050219,2,Anoka County,0.00%,0,143,0.30%,No significant difference
27003050220,2,Anoka County,0.00%,0,323,0.30%,No significant difference
27003050221,1,Anoka County,0.00%,0,347,0.30%,Significantly lower (<0.9%)
27003050222,2,Anoka County,About 0.9%,*1-4,257,0.30%,No significant difference
27003050223,2,Anoka County,0.00%,0,130,0.30%,No significant difference
27003050224,2,Anoka County,0.00%,0,212,0.30%,No significant difference
27003050225,2,Anoka County,About 0.9%,*1-4,317,0.30%,No significant difference
27003050226,2,Anoka County,0.00%,0,163,0.30%,No significant difference
27003050227,2,Anoka County,0.00%,0,242,0.30%,No significant difference
27003050228,1,Anoka County,0.00%,0,396,0.30%,Significantly lower (<0.9%)
27003050229,2,Anoka County,0.00%,0,228,0.30%,No significant difference
27003050230,2,Anoka County,0.00%,0,118,0.30%,No significant difference
27003050232,2,Anoka County,About 0.9%,*1-4,182,0.30%,No significant difference
27003050233,2,Anoka County,0.00%,0,178,0.30%,No significant difference
27003050234,2,Anoka County,0.00%,0,166,0.30%,No significant difference
27003050235,2,Anoka County,About 0.9%,*1-4,152,0.30%,No significant difference
27003050236,2,Anoka County,0.00%,0,207,0.30%,No significant difference
27003050237,2,Anoka County,0.00%,0,230,0.30%,No significant difference
27003050401,2,Anoka County,About 0.9%,*1-4,168,0.30%,No significant difference
27003050402,2,Anoka County,About 0.9%,*1-4,198,0.30%,No significant difference
27003050501,2,Anoka County,0.00%,0,177,0.30%,No significant difference
27003050504,2,Anoka County,0.00%,0,142,0.30%,No significant difference
